	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290
1	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
2	x	CM1_ura3_1.1	CM1_ura3_3.3	CM1_NRC1_2.2	CM2_ura3_3.1	CM2_NRC1_1.3	CM3_ura3_2.2	CM3_NRC1_1.1	CM4_ura3_1.3	x	x	CM4_ura3_4.2	CM5_ura3_1.1	CM5_ura3_3.3	CM5_NRC1_2.2	CM6_ura3_3.1	CM6_NRC1_1.3	CM7_ura3_2.2	CM7_NRC1_1.1	x
3	x	CM1_ura3_1.2	CM1_ura3_4.1	CM1_NRC1_2.3	CM2_ura3_3.2	CM2_NRC1_2.1	CM3_ura3_2.3	CM3_NRC1_1.2	CM4_ura3_2.1	x	x	CM4_ura3_4.3	CM5_ura3_1.2	CM5_ura3_4.1	CM5_NRC1_2.3	CM6_ura3_3.2	CM6_NRC1_2.1	CM7_ura3_2.3	CM7_NRC1_1.2	x
4	x	CM1_ura3_1.3	CM1_ura3_4.2	CM2_ura3_1.1	CM2_ura3_3.3	CM2_NRC1_2.2	CM3_ura3_3.1	CM3_NRC1_1.3	CM4_ura3_2.2	x	x	CM4_NRC1_1.1	CM5_ura3_1.3	CM5_ura3_4.2	CM6_ura3_1.1	CM6_ura3_3.3	CM6_NRC1_2.2	CM7_ura3_3.1	CM7_NRC1_1.3	x
5	x	CM1_ura3_2.1	CM1_ura3_4.3	CM2_ura3_1.2	CM2_ura3_4.1	CM2_NRC1_2.3	CM3_ura3_3.2	CM3_NRC1_2.1	CM4_ura3_2.3	x	x	CM4_NRC1_1.2	CM5_ura3_2.1	CM5_ura3_4.3	CM6_ura3_1.2	CM6_ura3_4.1	CM6_NRC1_2.3	CM7_ura3_3.2	CM7_NRC1_2.1	x
6	x	CM1_ura3_2.2	CM1_NRC1_1.1	CM2_ura3_1.3	CM2_ura3_4.2	CM3_ura3_1.1	CM3_ura3_3.3	CM3_NRC1_2.2	CM4_ura3_3.1	x	x	CM4_NRC1_1.3	CM5_ura3_2.2	CM5_NRC1_1.1	CM6_ura3_1.3	CM6_ura3_4.2	CM7_ura3_1.1	CM7_ura3_3.3	CM7_NRC1_2.2	x
7	x	CM1_ura3_2.3	CM1_NRC1_1.2	CM2_ura3_2.1	CM2_ura3_4.3	CM3_ura3_1.2	CM3_ura3_4.1	CM3_NRC1_2.3	CM4_ura3_3.2	x	x	CM4_NRC1_2.1	CM5_ura3_2.3	CM5_NRC1_1.2	CM6_ura3_2.1	CM6_ura3_4.3	CM7_ura3_1.2	CM7_ura3_4.1	CM7_NRC1_2.3	x
8	x	CM1_ura3_3.1	CM1_NRC1_1.3	CM2_ura3_2.2	CM2_NRC1_1.1	CM3_ura3_1.3	CM3_ura3_4.2	CM4_ura3_1.1	CM4_ura3_3.3	x	x	CM4_NRC1_2.2	CM5_ura3_3.1	CM5_NRC1_1.3	CM6_ura3_2.2	CM6_NRC1_1.1	CM7_ura3_1.3	CM7_ura3_4.2	x	x
9	x	CM1_ura3_3.2	CM1_NRC1_2.1	CM2_ura3_2.3	CM2_NRC1_1.2	CM3_ura3_2.1	CM3_ura3_4.3	CM4_ura3_1.2	CM4_ura3_4.1	x	x	CM4_NRC1_2.3	CM5_ura3_3.2	CM5_NRC1_2.1	CM6_ura3_2.3	CM6_NRC1_1.2	CM7_ura3_2.1	CM7_ura3_4.3	x	x
10	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
